Country;Total;calculated;Homicides;Homicides year;Suicides;Sucides Year;Unintentional;Unintentional year;Undetermined;Undetermined Year;Sources and notes
Luxembourg;2.02;mixed years;0.60;2009;1.00;2009;0.22;2004;0.20;2009;Guns in Luxembourg[38]
Macedonia;1.85;mixed years;1.07;2010;0.63;2010;0.15;2010;0.00;1997;Guns in Macedonia[39]
Mexico;11.17;mixed years;10.00;2010;0.69;2001;0.47;2001;0.01;2001;Guns in Mexico[40]
Moldova;1.03;2011;0.45;2011;0.42;2011;0.08;2011;0.08;2011;Guns in Moldova[41]
Montenegro;8.55;2009, incomplete;2.06;2009;6.49;2009;unavailable;;unavailable;;Guns in Montenegro[42]
Netherlands;0.46;2010;0.20;2010;0.24;2010;0.01;2010;0.01;2010;Guns in Netherlands[43]
New Zealand;1.45;mixed years;0.26;2009;1.14;2007;0.05;2006;0.00;2006;Guns in New Zealand[44]
Nicaragua;7.29;mixed years;5.90;2008;0.46;2002;0.91;2002;0.02;2001;Guns in Nicaragua[45]
Norway;1.78;mixed years;0.04;2010;1.72;2010;0.02;2010;0.00;2008;Guns in Norway[46]
Panama;17.60;mixed years;16.10;2010;0.99;2002;0.06;2002;0.45;2002;Guns in Panama[47]
Paraguay;8.16;mixed years;7.30;2009;0.58;2000;0.26;2000;0.02;2000;Guns in Paraguay[48]
Peru;3.73;mixed years;2.60;2009;0.11;2000;0.90;2000;0.12;2000;Guns in Peru[49]
Philippines;3.24;incomplete;3.24;2002;unavailable;;unavailable;;unavailable;;Guns in Philippines[50]
Poland;0.25;2010;0.02;2010;0.12;2010;0.02;2010;0.09;2010;Guns in Poland[51]
Portugal;1.77;2010;0.48;2010;1.09;2010;0.02;2010;0.18;2010;Guns in Portugal[52]
Qatar;0.15;incomplete;0.15;2004;unavailable;;unavailable;;unavailable;;Guns in Qatar[53]
Romania;0.19;2010;0.04;2010;0.06;2010;0.09;2010;0.00;2010;Guns in Romania[54]
Serbia;3.90;2010;0.62;2010;2.81;2010;0.18;2010;0.29;2010;Guns in Serbia[55]
Singapore;0.16;mixed years;0.02;2006;0.12;1998;0.02;1998;0.00;1998;Guns in Singapore[56]
Slovakia;1.75;2010;0.18;2010;0.94;2010;0.39;2010;0.24;2010;Guns in Slovakia[57]
Slovenia;2.49;mixed years;0.05;2010;2.34;2010;0.05;2009;0.05;2010;Guns in Slovenia[58]
South Africa;21.51;mixed years;17.00;2007;3.81;1999;0.35;1999;0.35;1999;Guns in South Africa[59]
South Korea;0.06;mixed years;0.00;2006;0.04;2002;0.01;2002;0.01;2002;Guns in South Korea[60]
Spain;0.62;mixed years;0.15;2010;0.42;2010;0.05;2010;0.00;2007;Guns in Spain[61]
Swaziland;37.16;incomplete;37.16;2004;unavailable;;unavailable;;unavailable;;Guns in Swaziland[62]
Sweden;1.47;2010;0.19;2010;1.20;2010;0.06;2010;0.01;2010;Guns in Sweden[63]
Switzerland;2.91;mixed years;0.23;2013;2.68;2011;0.10;1998;0.07;1994;Guns in Switzerland[64]
Taiwan;0.87;mixed years;0.60;2008;0.12;1994;0.11;1994;0.04;1994;Guns in Taiwan[65]
Ukraine;0.20;incomplete;0.20;2009;unavailable;;unavailable;;unavailable;;Guns in Ukraine[66]
United Kingdom;0.26;2010;0.05;2010;0.17;2010;0.01;2010;0.02;2010;Guns in the United Kingdom[67]
United States;10.64;2013;3.55;2013;6.70;2013;0.16;2013;0.09;2013;Guns in United States[68]
Uruguay;14.01;mixed years;3.43;2009;7.03;2000;3.46;2000;0.09;2000;Guns in Uruguay[69]
Venezuela;50.90;mixed years;39.00;2000;1.10;2000;0.40;2000;10.40;2000;Guns in Venezuela[70]
Zimbabwe;0.12;mixed years;0.03;2007;0.09;1995;unavailable;;unavailable;;Guns in Zimbabwe[71]
